Date,Open,High,Low,Close,Adj Close,Volume
2023-12-11,2.015834,2.075117,1.871275,1.942235,1.942235,10103179
2023-12-12,1.942197,1.966743,1.860067,1.917200,1.917200,4055309
2023-12-13,1.916249,1.929663,1.844732,1.919763,1.919763,3001145
2023-12-14,1.919632,1.962099,1.908311,1.942503,1.942503,4124870
2023-12-15,1.942629,1.946672,1.870813,1.872578,1.872578,3587003
2023-12-16,1.872611,1.902750,1.858756,1.875244,1.875244,2563149
2023-12-17,1.875240,1.904062,1.861087,1.866026,1.866026,2993792
2023-12-18,1.865923,1.884903,1.764012,1.820468,1.820468,3540042
2023-12-19,1.820775,1.844399,1.793850,1.803211,1.803211,2311360
2023-12-20,1.803159,2.286272,1.802019,1.928320,1.928320,29251736
2023-12-21,1.928304,1.961110,1.895548,1.922279,1.922279,4716703
2023-12-22,1.922369,1.958704,1.915089,1.953794,1.953794,3782620
2023-12-23,1.953610,1.953610,1.913388,1.942913,1.942913,2747699
2023-12-24,1.942880,2.019467,1.933549,1.990754,1.990754,5821991
2023-12-25,1.990811,2.119867,1.963509,2.064112,2.064112,6621144
2023-12-26,2.064156,2.134985,2.018108,2.094193,2.094193,7690548
2023-12-27,2.094518,2.107251,2.030331,2.067385,2.067385,4129689
2023-12-28,2.067497,2.085924,2.009775,2.036803,2.036803,3085478
2023-12-29,2.037247,2.144310,1.984487,2.052655,2.052655,5017681
2023-12-30,2.052589,2.066399,2.013274,2.021098,2.021098,2429075
2023-12-31,2.020605,2.045060,1.949487,1.976002,1.976002,2944224
2024-01-01,1.975790,2.030705,1.949644,2.028154,2.028154,2263838
2024-01-02,2.028135,2.057684,2.003079,2.034502,2.034502,3237002
2024-01-03,2.034590,2.060626,1.882736,1.938466,1.938466,4079625
2024-01-04,1.938499,2.052395,1.916435,1.976358,1.976358,4003556
2024-01-05,1.976332,2.253922,1.944772,2.010239,2.010239,15211383
2024-01-06,2.010653,2.057203,1.951373,1.968095,1.968095,6831901
2024-01-07,1.968247,2.003362,1.925504,1.964421,1.964421,3911892
2024-01-08,1.964200,1.967165,1.883884,1.960666,1.960666,3857626
2024-01-09,1.960947,2.033063,1.868216,1.906873,1.906873,4341013
2024-01-10,1.906988,1.997529,1.870338,1.967804,1.967804,3022709
2024-01-11,1.968390,2.013993,1.946734,1.988571,1.988571,3833791
2024-01-12,1.988716,2.044612,1.921374,1.976097,1.976097,4746366
2024-01-13,1.986687,2.192396,1.959322,2.053085,2.053085,9001959
2024-01-14,2.052545,2.151869,2.030075,2.053072,2.053072,4869493
